timestamp,price,market_cap,volume,hour,day,day_of_week,price_change,price_change_1h,price_change_6h,price_change_24h,volume_change,volume_change_1h,volume_change_6h,volume_change_24h,market_cap_change_1h,market_cap_change_6h,market_cap_change_24h,volume_to_market_cap,ema_6h,ema_24h,price_ma_6h,price_ma_24h,std_6h,std_12h,volatility_6h,volatility_24h,momentum_6h,momentum_24h,rsi,price_distance_from_ma6h,price_distance_from_ma24h,bollinger_percent,whale_spike,rolling_high_24h,rolling_low_24h,forecast_price,lifestage_x,lifestage_y
2024-12-12 05:04:19.406,0.0269284784749816,26865784.003847618,11690709.554599864,5.0,12.0,3.0,0.0412557964731044,0.0412557964731044,-0.028248788461594,-0.0427143799577642,0.050105748358451,0.050105748358451,0.1957735864669763,0.0620689860974332,0.0402365465381255,-0.0286410094122452,-0.0446616164563301,0.4351523690105438,0.0258407049586422,0.027714392805023,0.025151011791404,0.027986763432252,0.0011016561103995,0.0012452835189066,0.0590914134879759,0.0461981835246807,-0.028248788461594,-0.0427143799577642,34.207923098308825,7.067177648038037,-3.7813767205781335,0.739028475465061,False,0.0325548209141397,0.0239116132120905,,post-pump,post-pump
2024-12-12 06:04:23.271,0.027772256385855,27730113.97364152,11835297.231434084,6.0,12.0,3.0,0.0313340358853666,0.0313340358853666,0.1028027392932386,0.0010111373771242,0.0123677417661385,0.0123677417661385,0.1248991401568464,0.0769646344853225,0.0321721476533167,0.1161679200141738,4.549380995966246e-05,0.4268030503835637,0.0263925767949887,0.0277167545838325,0.0255824978482622,0.0279879323156203,0.0015375973291016,0.0012741477461465,0.0410356377578567,0.0465638665278944,0.1028027392932386,0.0010111373771242,39.78753434458259,8.559596293453842,-0.770603299068906,0.8249460268145417,False,0.0325548209141397,0.0239116132120905,,pre-pump,pre-pump
2024-12-12 07:04:52.217,0.0255096048410363,25485770.82446768,11700411.75180892,7.0,12.0,3.0,-0.0814716497421906,-0.0814716497421906,0.066829101607323,-0.1202480908456706,-0.011396881462927,-0.011396881462927,0.0963161527204703,0.0531261714173005,-0.0809352298842754,0.0559871504866411,-0.1210658266238072,0.4590958551889633,0.0261402990938594,0.0276266668392285,0.0258488297864198,0.0278426507667141,0.0013121653438277,0.0012460839930395,0.0517867592820438,0.0484888536069519,0.066829101607323,-0.1202480908456706,38.07880633525037,-1.3123415960663132,-8.379395860063143,0.4973437998075782,False,0.0325548209141397,0.0239116132120905,,post-pump,post-pump
2024-12-12 08:04:16.419,0.0262519512493017,26255095.253987264,11891265.030663338,8.0,12.0,3.0,0.0291006627853056,0.0291006627853056,0.0644284644797237,-0.1281472718765962,0.0163116720080307,0.0163116720080307,-0.1992565797731048,0.0654644289750887,0.0301864297069245,0.0771420389712211,-0.1281042293350414,0.4529126600238655,0.0261721997097001,0.0275705559988233,0.0261136625057352,0.0276818764837074,0.0011784972617046,0.0012477259190444,0.0516209281878408,0.0481689017429586,0.0644284644797237,-0.1281472718765962,45.50287860299966,0.5295647193728215,-5.165564680007817,0.612514164363224,False,0.0325548209141397,0.0239116132120905,,post-pump,post-pump
2024-12-12 09:04:50.887,0.0272097019322379,27248741.743180458,11963283.359517632,9.0,12.0,3.0,0.0364830283981909,0.0364830283981909,0.1170679460118075,-0.1008210334529031,0.0060564059978971,0.0060564059978971,0.1169788687306638,0.0502699488679287,0.0378458535221764,0.1199535348675544,-0.0995265799563994,0.4390398452989736,0.0264686289161394,0.0275558272614117,0.0265889221543199,0.0275547554112803,0.0008612207523351,0.0012977255686535,0.0509341922350995,0.048864789055034,0.1170679460118075,-0.1008210334529031,50.80650901378395,2.334730886476133,-1.252246568304438,0.7357786759124626,False,0.0325548209141397,0.0239116132120905,,post-pump,post-pump
2024-12-12 10:04:15.192,0.0263073764688711,26505025.918046225,11895226.176827043,10.0,12.0,3.0,-0.0331619017956875,-0.0331619017956875,0.017239361060146,-0.1919053544095865,-0.0056888381429538,-0.0056888381429538,0.0684762398699019,0.0310060869487112,-0.0272935841274345,0.0262680822172629,-0.1784626530668551,0.4487913429553771,0.0264225567883485,0.0275048700862059,0.0266632282253806,0.0272944452260608,0.0008031887455005,0.0012903478498493,0.0500134159572643,0.0461869738710254,0.017239361060146,-0.1919053544095865,50.44909176075255,-1.3346161743864604,-3.6163723021827687,0.5076108416298778,False,0.031413274307153,0.0239116132120905,,pre-pump,pre-pump
2024-12-12 11:08:53.876,0.0275645111444026,27534927.159486704,11894279.736176943,11.0,12.0,3.0,0.0477863947026051,0.0477863947026051,0.0236193318538928,-0.0864425391190322,-7.956474606118924e-05,-7.956474606118924e-05,0.0174129876913229,0.0187989435659159,0.038856828309655,0.0249068910679566,-0.0844461625363444,0.4319706265167644,0.0267488294615068,0.0275073044151119,0.0267692336702841,0.0271857699631952,0.0008831863997601,0.0012729439093323,0.0510487143212142,0.0453354742106273,0.0236193318538928,-0.0864425391190322,53.80088139816655,2.970863805493696,1.3931596630152754,0.7717799264850861,False,0.031413274307153,0.0239116132120905,,pre-pump,pre-pump
2024-12-12 12:09:02.551,0.0295112845999716,29001713.79383405,11857020.544480138,12.0,12.0,3.0,0.0706260831316909,0.0706260831316909,0.0626174621879958,0.0234641841305076,-0.0031325303022325,-0.0031325303022325,0.0018354683132382,0.012777080427629,0.0532700386622229,0.0458562781747393,0.0208965195745125,0.408838616530345,0.027538102358211,0.027589099524698,0.0270590717059702,0.0272139609112566,0.0014077530532783,0.0016031412941521,0.0572449515642881,0.0468012794938324,0.0626174621879958,0.0234641841305076,58.474600292925054,9.06244279422326,8.44171010683219,0.9882055767365032,False,0.031413274307153,0.0239116132120905,,pre-pump,pre-pump
2024-12-12 13:04:25.085,0.0320836822666268,31685279.58183925,12133233.320683174,13.0,12.0,3.0,0.0871665771763008,0.0871665771763008,0.2577098887480624,0.1142763250068785,0.0232952937179165,0.0232952937179165,0.0369919946456018,0.0721028274155131,0.0925312830504432,0.2432537277397046,0.0961319092996957,0.3829296594762403,0.0288368394749012,0.0277725518815115,0.0281547512769019,0.0273510605553573,0.0022606027816873,0.002134400829089,0.0417287270940729,0.0499077211401463,0.2577098887480624,0.1142763250068785,61.560254257483,13.95477072798057,17.303247534737487,1.007236765429326,False,0.0320836822666268,0.0239116132120905,,pre-pump,pre-pump
2024-12-12 14:08:56.700,0.0278017806463644,27870787.49768044,12086759.090878677,14.0,12.0,3.0,-0.1334604171889708,-0.1334604171889708,0.0590367314926323,-0.0978663006449898,-0.0038303252378139,-0.0038303252378139,0.0164401398599081,0.138292109208268,-0.1203868842093199,0.0615382358381579,-0.0969207004199267,0.4336712441973376,0.0285411083810335,0.0277737448923218,0.0284130561764124,0.0272253928639927,0.0020811168384876,0.0020104533458596,0.0826601173712762,0.0554649595275396,0.0590367314926323,-0.0978663006449898,56.33536407306946,-2.1513895803840333,2.1170962904043744,0.5025664352422736,False,0.0320836822666268,0.0239116132120905,,pump,pump
