timestamp,price,market_cap,volume,hour,day,day_of_week,price_change,price_change_1h,price_change_6h,price_change_24h,volume_change,volume_change_1h,volume_change_6h,volume_change_24h,market_cap_change_1h,market_cap_change_6h,market_cap_change_24h,volume_to_market_cap,ema_6h,ema_24h,price_ma_6h,price_ma_24h,std_6h,std_12h,volatility_6h,volatility_24h,momentum_6h,momentum_24h,rsi,price_distance_from_ma6h,price_distance_from_ma24h,bollinger_percent,whale_spike,rolling_high_24h,rolling_low_24h,forecast_price,lifestage_x,lifestage_y
2025-02-22 09:04:48.635,0.0254949641491593,25493625.01203508,13052578.879302263,9.0,22.0,5.0,0.0178873624866824,0.0178873624866824,0.0632113950466444,-0.0014768199667324,0.4924074624764449,0.4924074624764449,0.0634865339299743,0.1750184777053687,0.024861455077539,0.0630623409013535,-0.0034335261317566,0.5119938366215231,0.0245992308162275,0.024232726853711,0.024232569833106,0.0249913436790377,0.0009394254284031,0.0006563882408041,0.0423517736352206,0.0313136267456005,0.0632113950466444,-0.0014768199667324,54.6665702696318,5.20949418385106,2.015179642157472,0.8955963014278843,False,0.0272253672927993,0.0231189692459476,,pre-pump,pre-pump
2025-02-22 10:04:47.441,0.0266241615817635,26622763.132918123,12898714.008503288,10.0,22.0,5.0,0.0442909990379976,0.0442909990379976,0.1305128488179916,0.0019385808306766,-0.0117880820504339,-0.0117880820504339,0.0484232337716392,0.0813967304733529,0.0442909990379947,0.1289347569949033,-0.0029026710734689,0.4844994467367842,0.0251777824635235,0.0243303364344479,0.0247448440012795,0.0249934900634844,0.0012722080159809,0.0009524882621289,0.0414685599556598,0.0315206616717289,0.1305128488179916,0.0019385808306766,60.56206467120645,7.594784515056041,6.524385006403977,0.9529050475423962,False,0.0272253672927993,0.0231189692459476,,pre-pump,pre-pump
2025-02-22 11:04:46.792,0.0267029627716324,27039497.24630854,13299553.262022097,11.0,22.0,5.0,0.0029597623056374,0.0029597623056374,0.1550239324062001,0.0224881402902794,0.0310759082846989,0.0310759082846989,0.0883592139671121,0.1445160652675419,0.0156533005725141,0.1681857306638381,0.0338965767570744,0.4918565290202563,0.0256135482658403,0.0244271783257615,0.0253421762555603,0.0250179605988592,0.0011951980293147,0.0011525687245947,0.03817391020767,0.0312946910169455,0.1550239324062001,0.0224881402902794,62.60546009338129,5.369651376224938,6.735169983639655,0.8380767361820827,False,0.0272253672927993,0.0231189692459476,,pre-pump,pre-pump
2025-02-22 12:04:48.651,0.0260841995487127,26117899.537993472,12085546.541100744,12.0,22.0,5.0,-0.0231720812484912,-0.0231720812484912,0.0626960331972064,0.0036651789255881,-0.0912817669137836,-0.0912817669137836,-0.0543425858061118,0.0928553011670234,-0.0340833891961835,0.0611796674781253,0.005770549177422,0.4627304168744507,0.0257480200609467,0.0244948118450656,0.0255986584777797,0.025021929521152,0.0011544166986987,0.0011985763505326,0.0375362294465535,0.0316749204287758,0.0626960331972064,0.0036651789255881,60.661083969069146,1.8967442038201328,4.245356165129577,0.6744268654211346,False,0.0272253672927993,0.0231189692459476,,pump,pump
2025-02-22 13:01:34.515,0.0262908101028007,26267837.87703933,14733357.71082205,13.0,22.0,5.0,0.0079209083530491,0.0079209083530491,0.1121925158299592,-0.0141378572461754,0.2190890714554432,0.2190890714554432,0.169731172766465,0.3772277303646094,0.0057408268543088,0.1099559312620721,-0.0117269573712005,0.560889624025754,0.0259031029300478,0.0245681178964018,0.0260406731000473,0.0250062201019544,0.000652510894264,0.0012678354854144,0.0298063254913414,0.0312532639676363,0.1121925158299592,-0.0141378572461754,61.635834310691045,0.9605627388828752,5.1370818764644,0.6699353945656416,False,0.0272253672927993,0.0231189692459476,,post-pump,post-pump
2025-02-22 14:01:30.994,0.026252475408083,26265971.462491103,14705926.237549946,14.0,22.0,5.0,-0.0014581024535876,-0.0014581024535876,0.0481310267997083,-0.0357347570100042,-0.0018618616211262,-0.0018618616211262,0.681448107879268,0.2911309792397809,-7.105322322153995e-05,0.0559103195157921,-0.0381260145934087,0.5598851068025646,0.0260029236380579,0.0246368671825928,0.0262415955936919,0.0249656829400912,0.0004345086593728,0.0013069546760998,0.0223666291567214,0.030930750303035,0.0481310267997083,-0.0357347570100042,63.914408415654506,0.0414601861850272,5.154245013363434,0.6185196899925144,False,0.0270882632163948,0.0231189692459476,,post-pump,post-pump
2025-02-22 15:04:28.533,0.0259587686648421,25925930.745884296,14819062.413777862,15.0,22.0,5.0,-0.0111877732928173,-0.0111877732928173,0.0181920050159432,-0.0416968242862129,0.0076932370256987,0.0076932370256987,0.1353359784920931,0.3107854411131583,-0.0129460552065396,0.0169574053766434,-0.0424618079388617,0.5715923011223181,0.0259903079314248,0.0246908223451336,0.0263188963463057,0.0249186206671098,0.0002934856026927,0.0012757010418909,0.0229564960828361,0.0309906146394176,0.0181920050159432,-0.0416968242862129,58.56410844288326,-1.3683236436856872,4.174179669202704,0.4560172422453835,False,0.0267029627716324,0.0231189692459476,,post-pump,post-pump
2025-02-22 16:04:46.931,0.0274706329861143,27305959.36187921,14560896.62503501,16.0,22.0,5.0,0.0582409874979867,0.0582409874979867,0.0317933543841846,0.1091252799153414,-0.0174211958580338,-0.0174211958580338,0.1288642120009757,0.2462478279625668,0.0532296652923056,0.0256621082323471,0.1030141942113525,0.5332497727716871,0.0264132579470503,0.0248042840039491,0.0264599749136975,0.0250312372100869,0.0005557986047795,0.00129552196447,0.0280816495420343,0.0277081454982949,0.0317933543841846,0.1091252799153414,66.27126651393675,3.8195730559577257,9.745406331910525,0.972029298078256,False,0.0274706329861143,0.0231189692459476,,pre-pump,pre-pump
2025-02-22 17:02:54.214,0.0274641681438161,27462136.218668595,14249199.408725869,17.0,22.0,5.0,-0.0002353364882953,-0.0002353364882953,0.0285064012818965,0.0848662122633807,-0.0214064576059986,-0.0214064576059986,0.0714043643417376,0.1046584528990297,0.0057195154625262,0.0156304301263499,0.0865044771487251,0.5188671156266186,0.0267135180032691,0.0249128507035355,0.0265868424757281,0.0251207559258889,0.0006924375957316,0.00113567852224,0.0281707596316453,0.0274712877961629,0.0285064012818965,0.0848662122633807,69.50580883139784,3.2998490470949493,9.32858957286442,0.8656841952394955,False,0.0274706329861143,0.0231189692459476,,pre-pump,pre-pump
2025-02-22 18:04:51.681,0.0265561272085107,26486041.91328137,14082757.374333069,18.0,22.0,5.0,-0.0330627503644181,-0.0330627503644181,0.0180924723764923,0.0653860537653858,-0.0116807990132326,-0.0116807990132326,0.1652561451350316,0.0864966131842785,-0.0355432766633675,0.0140954051359438,0.0620750467695856,0.5317048663005891,0.0266685492047667,0.0249799232139427,0.0266654970856944,0.0251886655956325,0.0006493879194227,0.0010525443962182,0.0303549637522009,0.0282332522006964,0.0180924723764923,0.0653860537653858,65.96606957150243,-0.4101550285460886,5.428876760804968,0.482367762228431,False,0.0274706329861143,0.0231189692459476,,pump,pump
